name,twitter,feed,link
zalando,ZalandoTech,https://tech.zalando.com/blog/rss-technical.xml,https://jobs.zalando.com/tech/blog/
airbnb,AirbnbNerds,https://medium.com/feed/airbnb-engineering,https://medium.com/airbnb-engineering
twitter,TwitterEng,https://blog.twitter.com/api/blog.rss?name=engineering,https://blog.twitter.com/content/blog-twitter/official/en_us
shopify,ShopifyDevs,https://engineering.shopify.com/blogs/engineering.atom,https://shopifyengineering.myshopify.com/blogs/engineering
trivago,trivago,http://tech.trivago.com/index.xml,http://tech.trivago.com/
heroku,heroku,http://engineering.heroku.com/feed.xml,http://blog.heroku.com/
etsy,codeascraft,https://codeascraft.com/feed/,https://codeascraft.com/
uber,UberEng,https://eng.uber.com/feed/,https://eng.uber.com/
netflix,NetflixOSS,https://medium.com/feed/netflix-techblog,view-source:https://medium.com/netflix-techblog
spotify,SpotifyEng,https://labs.spotify.com/feed/,https://labs.spotify.com/
slideshare,slideshare,http://engineering.slideshare.net/feed/,https://engineering.linkedin.com/blog/topic/slideshare
soundcloud,SoundCloudDev,https://developers.soundcloud.com/blog.rss,https://developers.soundcloud.com/blog.rss
expedia,ExpediaEng,https://medium.com/feed/expedia-engineering,https://medium.com/expedia-engineering
vine,vine,http://engineering.vine.co/rss,http://engineering.vine.co/
dropbox,dropbox,https://blogs.dropbox.com/tech/feed/,https://dropboxtechblog.wordpress.com/
pinterest,PinterestEng,https://medium.com/feed/@Pinterest_Engineering,https://medium.com/@Pinterest_Engineering
dailymotion,dailymotion,https://medium.com/feed/dailymotion-engineering,https://medium.com/dailymotion-engineering
linkedin,LinkedInEng,https://engineering.linkedin.com/blog.rss,https://engineering.linkedin.com/blog.rss.html
yelp,YelpEngineering,http://engineeringblog.yelp.com/feed.xml,https://engineeringblog.yelp.com/
envato,envato,https://webuild.envato.com/atom.xml,http://webuild.envato.com/
facebook,fb_engineering,https://code.facebook.com/posts/rss,https://code.facebook.com/
paypal,paypaleng,https://www.paypal-engineering.com/feed/,https://www.paypal-engineering.com/
quora,Quora,http://engineering.quora.com/rss,https://engineering.quora.com/?ref=rss
flickr,FlickrAPI,http://code.flickr.net/feed/,http://code.flickr.net/
tumblr,tumblreng,http://engineering.tumblr.com/rss,https://engineering.tumblr.com/
foursquare,foursquare,https://medium.com/feed/foursquare-direct/tagged/engineering,https://medium.com/foursquare-direct/tagged/engineering
github,GitHubEng,http://githubengineering.com/atom.xml,https://githubengineering.com/
pimentaGROUP,pimentagroup,https://pimentagroup.de/,https://recruiting.pimentagroup.de/
